交易时间,买卖方向,开平仓,交易价格,交易数量
2019-01-19 01:00:00,空,开,118.89,1.0
2019-01-19 18:00:00,多,平,124.55,1.0
2019-01-19 18:00:00,多,开,124.55,1.0
2019-01-20 19:00:00,空,平,119.6,1.0
2019-01-20 20:00:00,空,开,117.77,1.0
2019-02-03 07:00:00,多,平,109.3,1.0
2019-02-06 09:00:00,空,开,101.82,1.0
2019-02-07 06:00:00,多,平,103.97,1.0
2019-02-08 23:00:00,多,开,111.09,1.0
2019-02-24 22:00:00,空,平,137.58,1.0
2019-02-28 04:00:00,空,开,128.96,1.0
2019-02-28 06:00:00,多,平,131.55,1.0
2019-03-05 12:00:00,空,开,125.85,1.0
2019-03-05 21:00:00,多,平,134.11,1.0
2019-03-16 09:00:00,多,开,138.47,1.0
2019-03-21 22:00:00,空,平,132.76,1.0
2019-03-25 23:00:00,空,开,133.25,1.0
2019-03-27 09:00:00,多,平,136.19,1.0
2019-03-29 17:00:00,多,开,140.91,1.0
2019-04-11 16:00:00,空,平,170.07,1.0
2019-04-19 16:00:00,多,开,174.02,1.0
2019-04-21 17:00:00,空,平,168.96,1.0
2019-04-25 00:00:00,空,开,162.18,1.0
2019-04-25 07:00:00,多,平,165.67,1.0
2019-04-25 14:00:00,空,开,162.47,1.0
2019-05-01 06:00:00,多,平,160.4,1.0
2019-05-03 17:00:00,多,开,166.99,1.0
2019-05-04 12:00:00,空,平,162.65,1.0
2019-05-06 23:00:00,多,开,168.3,1.0
2019-05-23 05:00:00,空,平,243.42,1.0
2019-05-27 03:00:00,多,开,262.52,1.0
2019-05-31 05:00:00,空,平,249.08,1.0
2019-06-04 07:00:00,空,开,249.51,1.0
2019-06-11 07:00:00,多,平,247.83,1.0
2019-06-12 23:00:00,多,开,255.24,1.0
2019-06-28 00:00:00,空,平,293.27,1.0
2019-07-01 22:00:00,空,开,281.23,1.0
2019-07-02 04:00:00,多,平,288.8,1.0
2019-07-02 12:00:00,空,开,278.37,1.0
2019-07-02 22:00:00,多,平,286.0,1.0
2019-07-08 16:00:00,多,开,310.82,1.0
2019-07-10 22:00:00,空,平,292.46,1.0
2019-07-11 12:00:00,空,开,270.0,1.0
2019-07-12 17:00:00,多,平,277.35,1.0
2019-07-14 17:00:00,空,开,239.83,1.0
2019-07-21 00:00:00,多,平,234.7,1.0
2019-07-27 20:00:00,空,开,205.78,1.0
2019-07-28 12:00:00,多,平,209.94,1.0
2019-08-03 10:00:00,多,开,223.39,1.0
2019-08-04 12:00:00,空,平,218.51,1.0
2019-08-05 08:00:00,多,开,227.22,1.0
2019-08-08 21:00:00,空,平,222.53,1.0
2019-08-09 17:00:00,空,开,210.93,1.0
2019-08-12 02:00:00,多,平,215.35,1.0
2019-08-15 00:00:00,空,开,195.42,1.0
2019-08-19 15:00:00,多,平,201.42,1.0
2019-08-29 02:00:00,空,开,172.17,1.0
2019-09-03 01:00:00,多,平,177.52,1.0
2019-09-08 11:00:00,多,开,183.5,1.0
2019-09-08 20:00:00,空,平,179.71,1.0
2019-09-15 00:00:00,多,开,185.95,1.0
2019-09-24 01:00:00,空,平,206.92,1.0
2019-09-24 22:00:00,空,开,190.34,1.0
2019-10-01 07:00:00,多,平,181.24,1.0
2019-10-08 09:00:00,多,开,184.8,1.0
2019-10-08 16:00:00,空,平,180.73,1.0
2019-10-09 18:00:00,多,开,184.16,1.0
2019-10-13 02:00:00,空,平,180.47,1.0
2019-10-16 20:00:00,空,开,174.07,1.0
2019-10-18 01:00:00,多,平,177.57,1.0
2019-10-18 16:00:00,空,开,170.46,1.0
2019-10-19 03:00:00,多,平,174.31,1.0
2019-10-23 11:00:00,空,开,166.47,1.0
2019-10-25 23:00:00,多,平,176.43,1.0
2019-10-26 08:00:00,多,开,187.8,1.0
2019-10-26 23:00:00,空,平,181.05,1.0
2019-10-28 01:00:00,多,开,187.4,1.0
2019-10-28 14:00:00,空,平,183.31,1.0
2019-11-05 22:00:00,多,开,189.81,1.0
2019-11-07 23:00:00,空,平,185.72,1.0
2019-11-15 10:00:00,空,开,181.61,1.0
2019-11-17 20:00:00,多,平,185.3,1.0
2019-11-19 02:00:00,空,开,178.23,1.0
2019-11-28 08:00:00,多,平,154.8,1.0
2019-12-11 01:00:00,空,开,144.68,1.0
2019-12-23 03:00:00,多,平,132.09,1.0
2019-12-30 00:00:00,多,开,132.76,1.0
2019-12-31 23:00:00,空,平,129.36,1.0
